DNA sample ethnicity and id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,DNA sample ethnicity,sample id
ARG_LagunaChica_6800BP:I8349,0.042115,-0.314814,0.112759,0.097223,-0.113867,-0.015897,-0.276137,-0.335294,-0.012476,-0.022415,-0.002111,-0.005845,0.006244,0.024359,-0.012758,0.006364,0.009518,0.001647,0.013198,0.004002,-0.000499,0.001607,-0.007272,0.000843,-0.006945,ARG_LagunaChica_6800BP,I8349
ARG_LagunaChica_6800BP:S8350.L1,0.050082,-0.316845,0.115399,0.094962,-0.119715,-0.020638,-0.288123,-0.344755,-0.007772,-0.020593,-0.001786,-0.002098,0.001635,0.021332,-0.001221,0.000265,0.003129,0.003421,0.001508,0.002626,-0.000499,0.001855,0.002711,-0.004097,-0.006826,ARG_LagunaChica_6800BP,S8350.L1
ARG_LagunaToro_2400BP:I12376,0.054635,-0.323954,0.125958,0.085918,-0.111713,-0.025937,-0.294468,-0.342447,-0.004295,-0.017495,-0.011692,-0.006145,0.011744,0.015689,-0.007465,-0.002519,0.00691,-0.000887,-0.000628,0.007128,0.000624,0.001978,0.001109,0.006627,0.000599,ARG_LagunaToro_2400BP,I12376
ARG_Selknam_500BP:I12354,0.052359,-0.318876,0.119547,0.095608,-0.118484,-0.023148,-0.295878,-0.350985,-0.01718,-0.015308,-0.003085,3.00E-04,-0.001189,0.02491,-0.01045,0.00411,0.015516,-0.004181,-0.006411,5.00E-04,0.001123,-0.000124,-0.002835,0.002892,-0.003233,ARG_Selknam_500BP,I12354
ARG_Selknam_500BP:I12363,0.052359,-0.317861,0.108234,0.094962,-0.115098,-0.015897,-0.296818,-0.356293,-0.018816,-0.014397,-0.003573,-0.001499,0.001933,0.015827,-0.011401,0.00716,0.005085,0.000127,-0.000754,-0.005127,-0.005865,0.000989,-0.006162,0.003856,-0.005508,ARG_Selknam_500BP,I12363
ARG_Selknam_500BP:I12364,0.066017,-0.318876,0.115776,0.098515,-0.12587,-0.024821,-0.276843,-0.338524,-0.015748,-0.006014,0.001786,0.007943,-0.002081,0.015276,-0.003664,0.002121,0.008214,0.004814,-0.003771,0.004627,0.004617,0.000371,0.003821,-0.005422,0.002395,ARG_Selknam_500BP,I12364
ARG_Selknam_500BP:I12366,0.055773,-0.318876,0.119547,0.10013,-0.116329,-0.018686,-0.295643,-0.355601,-0.010431,-0.022962,0.002598,-0.003897,0.000446,0.019542,-0.006379,0.005569,0.011474,-0.001014,-0.002514,-0.003502,-0.001497,-0.000866,-0.006779,0.000964,0.008143,ARG_Selknam_500BP,I12366
ARG_Selknam_500BP:I12367,0.056912,-0.317861,0.110873,0.0969,-0.118791,-0.025937,-0.282483,-0.34037,-0.017589,-0.014032,-0.009906,-0.00015,-0.006244,0.029314,-0.0019,0.005436,0.002868,0.002154,-0.007165,0.000125,-0.004866,0.006554,-0.011585,-0.000482,-0.00491,ARG_Selknam_500BP,I12367
ARG_Yamana_100BP:I12941,0.055773,-0.327,0.125204,0.096577,-0.11756,-0.021475,-0.288828,-0.345447,-0.016362,-0.018588,0.002923,0.001349,0.001487,0.03069,-0.001086,0.00358,0.004042,-0.004941,-0.002263,0.005253,-0.002745,0.006059,-0.005916,0.000723,-0.004431,ARG_Yamana_100BP,I12941
ARG_Yamana_100BP:I12942,0.05805,-0.317861,0.11389,0.0969,-0.112021,-0.019522,-0.301754,-0.357677,-0.010635,-0.009294,0.007632,-0.001199,-0.000297,0.017203,-0.004614,0.002519,-0.005215,-0.012922,-0.00729,-0.003752,-0.008235,-0.008285,-0.002218,-0.004579,-0.00946,ARG_Yamana_100BP,I12942
